doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hcmut-lib-borrowing-student,data\thu-vien-vnulib\hcmut-lib-borrowing-student.md,Quy định mượn trả tài liệu cho sinh viên chính quy,https://www.vnulib.edu.vn/index.php/muon-tra-tai-lieu-tvtt,2026-09-19,not-stated,public-source
hcmut-lib-user-guide,data\thu-vien-vnulib\hcmut-lib-user-guide.md,Hướng dẫn sử dụng thư viện và quy định thẻ bạn đọc,https://vnulib.edu.vn/index.php/general/36-dich-vu-thu-vien/148-huong-dan-su-dung-thu-vien,2026-09-19,not-stated,public-source
hcmut-lib-information-training,data\thu-vien-vnulib\hcmut-lib-information-training.md,Quy định lớp tập huấn kỹ năng tìm kiếm và sử dụng CSDL,https://vnulib.edu.vn/index.php/general/36-dich-vu-thu-vien/147-tap-huan-tv,2026-09-19,not-stated,public-source
hcmut-lib-document-delivery,data\thu-vien-vnulib\hcmut-lib-document-delivery.md,Dịch vụ sao chụp và cung cấp tài liệu theo yêu cầu,https://vnulib.edu.vn/index.php/general/36-dich-vu-thu-vien/146-cung-cap-thong-tin-theo-yeu-cau-tvtt,2026-09-19,not-stated,public-source
hcmut-lib-policy-adjustment,data\thu-vien-vnulib\hcmut-lib-policy-adjustment.md,Thông báo điều chỉnh chính sách mượn trả tài liệu thư viện,https://vnulib.edu.vn/index.php/general/9-tin-tuc-su-kien-thong-bao/428-tb-dieu-chinh-muon-tra-tl-2026,2026-09-19,not-stated,public-source
